Sector,Year,CO2 Emissions
Power Industry,1992,7906.510957
Power Industry,1993,7927.301608
Power Industry,1994,8001.593096
Power Industry,1995,8161.202443
Power Industry,1996,8498.385618
Power Industry,1997,8715.485176
Power Industry,1998,8896.255621
Power Industry,1999,8962.71366
Power Industry,2000,9358.629396
Power Industry,2001,9572.26356
Power Industry,2002,9703.014377
Power Industry,2003,10259.13817
Power Industry,2004,10634.826
Power Industry,2005,10977.25791
Power Industry,2006,11414.8672
Power Industry,2007,11907.68102
Power Industry,2008,11915.19571
Power Industry,2009,11721.58566
Power Industry,2010,12500.91298
Power Industry,2011,13100.38948
Power Industry,2012,13384.23074
Power Industry,2013,13612.28375
Power Industry,2014,13675.38373
Power Industry,2015,13363.97527
Power Industry,2016,13431.11405
Power Industry,2017,13736.33382
Power Industry,2018,14188.70342
Power Industry,2019,14075.62535
Power Industry,2020,13487.1385
Power Industry,2021,14257.25857
Transport,1970,2833.821071
Transport,1971,2912.429742
Transport,1972,3079.7701
Transport,1973,3255.222578
Transport,1974,3224.315741
Transport,1975,3307.154697
Transport,1976,3437.863996
Transport,1977,3557.809427
Transport,1978,3673.073357
Transport,1979,3738.14599
Transport,1980,3692.086771
Transport,1981,3676.944585
Transport,1982,3644.967401
Transport,1983,3679.50902
Transport,1984,3785.534686
Transport,1985,3863.635133
Transport,1986,4004.964009
Transport,1987,4144.043584
Transport,1988,4339.934869
Transport,1989,4463.704351
Transport,1990,4609.333938
Transport,1991,4647.653638
Transport,1992,4752.262046
Transport,1993,4793.104258
Transport,1994,4890.262938
Transport,1995,5023.536329
Transport,1996,5230.796178
Transport,1997,5308.354853
Transport,1998,5432.417311
Transport,1999,5593.867021
Transport,2000,5771.368721
Transport,2001,5802.166675
Transport,2002,5952.534287
Transport,2003,6077.21087
Transport,2004,6359.503911
Transport,2005,6500.00494
Transport,2006,6651.998731
Transport,2007,6858.381421
Transport,2008,6863.526208
Transport,2009,6724.396324
Transport,2010,7010.856972
Transport,2011,7126.253417
Transport,2012,7183.722182
Transport,2013,7371.643824
Transport,2014,7494.775378
Transport,2015,7726.598622
Transport,2016,7873.239496
Transport,2017,8073.644851
Transport,2018,8208.569919
Transport,2019,8223.715898
Transport,2020,7150.253464
Transport,2021,7640.488297
