Sector,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Buildings,2940.539924,2952.238409,3062.696991,3125.214595,3045.859502,3122.762971,3247.305858,3266.012707,3364.945308,3404.271943,3253.832922,3192.73084,3175.76998,3185.36179,3300.857613,3381.524022,3422.890287,3481.941882,3556.497899,3490.415967,3355.899639,3381.267914,3189.658852,3262.170762,3152.290985,3177.60255,3174.170505,3199.172995,3024.3221,3105.216668,3038.499395,3074.904057,3075.095189,3177.75058,3253.609372,3273.869403,3251.480499,3251.876295,3323.75014,3260.917489,3330.220053,3263.630071,3231.007411,3350.7638,3293.621941,3319.621315,3360.415103,3423.108974,3447.962712,3384.130976,3246.715431,3412.134005
Other industrial combustion,4589.859821,4320.400852,4455.864846,4731.423739,4739.293071,4560.394841,4775.577137,4982.986658,5091.550215,5295.961465,5184.62718,5023.928746,4884.793504,4796.592267,4955.768342,4915.657804,4931.556552,5100.375978,5267.26061,5296.864041,4923.883083,4839.074713,4726.820479,4707.165099,4745.117566,5003.820331,4911.131726,4989.001787,5034.63463,4861.144895,5067.139997,5134.659763,5189.01247,5437.317442,5877.992677,6328.772289,6630.101249,6977.060351,7110.801408,7073.43659,7730.167393,7967.846845,8005.787704,8075.745221,8003.238088,7957.200593,7727.32545,7699.356751,7800.56788,7948.502522,7694.344539,8117.514499
Other sectors,1862.480524,1882.175511,1997.769322,2134.849047,2114.411454,2002.56517,2155.545872,2159.74383,2318.238981,2353.106881,2284.685875,2159.337504,2108.770706,2128.952483,2170.784867,2166.862638,2190.289247,2213.526544,2322.905253,2338.095572,2203.052288,2209.733445,2203.438769,2188.349666,2321.87092,2401.887656,2400.736746,2453.276107,2419.00411,2462.444754,2590.155844,2562.039412,2607.597151,2834.378594,2952.703414,3071.437424,3241.50335,3396.073732,3364.457485,3402.13376,3577.326997,3752.712523,3888.20947,3769.699395,3935.651393,3924.821764,3991.079424,4073.617064,4223.806736,4354.670231,4376.432727,4423.93704
Power Industry,3878.950834,3962.542391,4235.516003,4578.740001,4649.334369,4723.023848,5103.893543,5298.514891,5294.36037,5520.132607,5633.763741,5651.95856,5635.500916,5788.456888,5979.375471,6124.927857,6280.35237,6539.752269,6770.675202,7057.973494,7621.326364,7767.294299,7906.510957,7927.301608,8001.593096,8161.202443,8498.385618,8715.485176,8896.255621,8962.71366,9358.629396,9572.26356,9703.014377,10259.13817,10634.826,10977.25791,11414.8672,11907.68102,11915.19571,11721.58566,12500.91298,13100.38948,13384.23074,13612.28375,13675.38373,13363.97527,13431.11405,13736.33382,14188.70342,14075.62535,13487.1385,14257.25857
Transport,2833.821071,2912.429742,3079.7701,3255.222578,3224.315741,3307.154697,3437.863996,3557.809427,3673.073357,3738.14599,3692.086771,3676.944585,3644.967401,3679.50902,3785.534686,3863.635133,4004.964009,4144.043584,4339.934869,4463.704351,4609.333938,4647.653638,4752.262046,4793.104258,4890.262938,5023.536329,5230.796178,5308.354853,5432.417311,5593.867021,5771.368721,5802.166675,5952.534287,6077.21087,6359.503911,6500.00494,6651.998731,6858.381421,6863.526208,6724.396324,7010.856972,7126.253417,7183.722182,7371.643824,7494.775378,7726.598622,7873.239496,8073.644851,8208.569919,8223.715898,7150.253464,7640.488297
