Sector,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Other industrial combustion,Austria,14.9024572,15.14250613,15.58281465,16.47796757,17.74780149,16.26802245,16.9165915,16.46212472,16.88993305,16.62768475,15.32912098,12.82228609,12.12515507,12.58503193,13.39783505,13.91293481,13.42732206,13.46145946,13.57621884,13.08069582,15.13203977,15.53040995,14.3306093,14.91980535,15.36224994,16.00373664,15.25345036,16.80147421,16.52989119,15.14156962,16.91663734,16.89446138,17.36143637,17.67641216,18.56836966,18.24288149,18.42910966,18.22050388,19.02185722,16.17708931,18.30397204,18.91511975,18.07138388,17.69278035,17.38811737,16.56209458,16.36601067,16.43526751,15.34431946,16.40929645,15.08938772,15.90913596
Other industrial combustion,Azerbaijan,20.0891606,20.0891606,21.5686177,23.0621872,24.4850493,26.7532244,28.1022601,29.6267516,31.2049715,32.7544171,34.43204,35.1692788,35.8479428,36.9925327,38.3196525,38.8337199,41.0030569,42.8087288,44.2499038,44.4905566,18.25474316,18.87598513,10.24848788,8.041010379,7.709513445,8.849706554,5.112606401,4.571987287,3.273920891,3.811035169,3.663946024,3.529085959,4.346850849,4.416576115,4.277656874,4.223071442,4.221190217,4.264706584,4.83496689,3.732738419,2.969420628,3.661282853,4.299120569,4.187339506,4.174152538,4.195458145,4.60583896,3.644377626,3.082954876,4.223856147,4.19836694,4.326368953
Other industrial combustion,Bahamas,0.019615398,0.019615398,0.022015551,0.018380295,0.020780448,0.023252746,0.025661797,0.026807051,0.028050513,0.031410287,0.034281913,0.041964054,0.028185735,0.029809033,0.029361232,0.028704825,0.044313898,0.14570013,0.125995443,0.125054695,0.109005556,0.100425971,0.082930361,0.233185418,0.247336152,0.116459323,0.125354806,0.103581504,0.259247615,0.231530017,0.246699166,0.220255484,0.228487282,0.153668672,0.192494765,0.131713009,0.139714574,0.153767258,0.139660337,0.111561045,0.128700516,0.168700435,0.322927365,0.291003387,0.318414258,0.283981442,0.267094327,0.277874363,0.343264129,0.339486177,0.280423846,0.312366485
Other industrial combustion,Bahrain,2.363115181,2.363115181,2.728563857,3.646357488,4.328124071,4.107997054,4.198177917,4.453911838,4.628678053,4.69407509,4.532539234,4.810333382,4.977682085,4.758734493,2.43405224,2.335901445,2.735555784,2.78761071,2.845787925,2.825592048,2.810085108,2.799677281,2.75196373,2.74900934,2.774760629,2.800762962,2.911297734,2.871340487,2.870457772,2.743504882,2.771659675,2.750865547,2.84083835,2.741485984,2.767690317,2.862534686,2.861071055,3.395747269,3.721515433,3.397191699,4.207103792,4.0237063,4.501492372,5.023183315,5.566279224,5.805615028,5.665587176,5.436143024,5.683103967,5.590265221,5.535153161,5.785110626
Other industrial combustion,Bangladesh,1.082052216,1.082052216,1.082052216,1.401256551,1.406245387,1.674454456,1.693870544,1.734195585,1.795724568,1.811312983,2.291228798,2.139210178,2.180466315,1.730585759,1.595797382,1.463055079,1.601379238,1.935311029,1.727104942,1.748764355,2.445974344,1.638696146,1.630652734,1.628565793,2.065810448,3.50457922,3.132758319,3.829965607,3.036566328,3.03320586,4.204931193,4.777868161,5.144569549,5.714655776,4.301644453,4.809760035,5.430283391,6.119908464,7.13000915,8.254522787,9.334384758,9.400856904,10.3886133,10.96130093,11.05863097,17.33984776,14.88116052,17.49624614,17.84461061,25.07461333,26.53551506,25.05810442
Other industrial combustion,Barbados,0.004693685,0.004693685,0.005268007,0.004398142,0.004972464,0.00556405,0.008816471,0.008434144,0.013528237,0.014332183,0.016786472,0.014673354,0.013053749,0.018330424,0.022533345,0.03515181,0.02858966,0.073126702,0.060853389,0.058096973,0.051052964,0.052894188,0.052310752,0.12960921,0.120847139,0.054234657,0.049301736,0.047557062,0.114858415,0.1197603,0.102993486,0.091557097,0.092551572,0.087008592,0.099529206,0.071758471,0.065968844,0.060875234,0.066253676,0.065938758,0.0702062,0.109989945,0.171234,0.166565821,0.161527883,0.157688576,0.144060997,0.119020011,0.144213439,0.142623288,0.117964029,0.131385311
Other industrial combustion,Belarus,12.4995919,12.4995919,13.3322866,14.2307898,15.0588537,17.217545,18.0421124,18.8410715,19.778104,20.5168128,21.3077814,21.2480903,21.0002154,20.7296617,20.6435528,20.17566,20.2547033,20.5622191,20.6893201,20.4375827,13.14505183,12.74300076,8.799231445,7.754114597,6.212120593,5.545621374,5.608765111,6.194773079,6.539507463,6.002012055,5.541092942,5.480069297,5.484413383,6.01973682,6.919228734,6.983972291,7.15147122,7.515946223,7.650376326,7.430923532,8.890947077,7.911758655,8.509111096,8.729457559,8.888328284,8.067473581,7.770075001,7.576501642,7.768918112,7.833019331,6.67088848,6.49789129
Other industrial combustion,Belgium,51.04114937,43.92748691,46.48694793,47.72885655,46.20347402,38.71033941,46.10586871,45.10250446,44.79744364,43.177385,41.18878298,36.28808502,34.37005348,31.29135532,34.15955201,33.24428155,33.03870352,32.11294203,33.05671086,34.28405585,33.88685582,35.13645854,32.79573186,30.0970176,32.25254937,29.84616911,30.51517294,31.46315678,32.1675473,32.51800316,34.30087946,35.92437129,29.95853623,30.45615136,27.9317293,24.89888361,25.7641348,25.20384024,24.82039586,22.63837474,26.07027515,23.92154732,23.3219779,24.66893487,24.75163638,24.65432704,25.32859125,24.82392544,25.4899431,24.86760978,22.35984823,23.25089028
Other industrial combustion,Belize,0.00112088,0.00112088,0.001258031,0.001050303,0.001187454,0.001328728,0.001466388,0.001531831,0.001602886,0.001794874,0.001958966,0.002170555,0.001578401,0.002196455,0.002590697,0.002870483,0.005493603,0.013266084,0.008777347,0.011250913,0.012519142,0.014666454,0.011697057,0.031186246,0.028923841,0.013321483,0.010632102,0.015148607,0.03352397,0.034824941,0.033978265,0.030997332,0.029317512,0.027991524,0.029745589,0.022804045,0.021975782,0.019434642,0.016409875,0.019148182,0.023003849,0.029093671,0.050848541,0.054035379,0.056460997,0.062254091,0.055526319,0.05715752,0.055035264,0.051645067,0.043329898,0.048999092
Other industrial combustion,Benin,0.012445781,0.012445781,0.015557392,0.009334502,0.009334502,0.021780283,0.024891894,0.021780283,0.015557392,0.018668996,0.028003173,0.031114785,0.034226388,0.034226388,0.015557392,0.028003173,0.028003173,0.021780283,0.024891894,0.031114785,0.031114785,0.018668996,0.024891894,0.028003173,0.021780283,0.028003173,0.148762746,0.177056977,0.137093215,0.159553191,0.156344676,0.152747518,0.152844762,0.140398982,0.146816019,0.137002488,0.134181942,0.134181942,0.121735828,0.149739009,0.146433576,0.165102904,0.158879681,0.252398293,0.462541003,0.395228924,0.398742021,0.329327627,0.119073117,0.499164818,0.472905727,0.528002734
Other industrial combustion,Bermuda,0.00266209,0.00266209,0.002987825,0.002494469,0.002820204,0.00315573,0.003482672,0.0036381,0.003806855,0.004262825,0.004652545,0.00477522,0.003946003,0.005804917,0.006217673,0.006697793,0.009670819,0.041031238,0.040806573,0.042994756,0.025371643,0.023354877,0.017669187,0.053971636,0.051125553,0.020916621,0.020560035,0.017298723,0.038563135,0.038843516,0.037197324,0.032979718,0.034800055,0.032526643,0.038152467,0.028526968,0.029590475,0.032484922,0.028638429,0.024144872,0.031051527,0.030239553,0.056338622,0.052715188,0.07620311,0.058421684,0.066837512,0.057716083,0.069776334,0.069017151,0.057204828,0.063671764
Other industrial combustion,Bhutan,0.000645717,0.000645717,0.000582729,0.000595826,0.000648301,0.000700095,0.000732039,0.000900834,0.000971508,0.001067059,0.001132964,0.00343234,0.002470252,0.00236699,0.002350035,0.003611196,0.00410923,0.034957027,0.036412777,0.037109866,0.043316425,0.044650057,0.046543713,0.046841365,0.06564385,0.0817852,0.106004484,0.136921609,0.154968057,0.231069317,0.122591393,0.109448319,0.122491028,0.118801478,0.11488402,0.134153757,0.120522922,0.159070996,0.182410051,0.175133543,0.161885731,0.178459417,0.158894707,0.170608911,0.179590298,0.158709603,0.172657818,0.234190576,0.251866442,0.27512308,0.286398065,0.292283958
Other industrial combustion,Bolivia,0.5676023,0.5676023,0.682059165,0.666588831,0.727341392,0.873721567,0.974171076,0.861259164,0.875971615,0.812051339,1.02241764,1.330509655,2.086694822,1.970099807,1.55693673,1.411371352,1.18935829,1.080536456,1.137061431,1.273683347,1.540889283,1.54423732,1.533437621,1.559056719,1.616232926,1.800465352,1.581747852,1.493415549,1.429502296,1.470357223,1.44369242,1.776959376,1.807326587,1.928029623,2.00595821,2.155900416,2.573517364,2.674020993,2.798768598,2.866001641,3.016514575,3.318845598,3.522005468,3.894460747,4.238728473,4.195515878,4.179585907,4.446265564,4.691305391,4.295451226,3.593395341,4.155772458
